CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 
-4798.271334;-3178.507469;-4919.753065;-3493.711769;2165.52641;-31862.54583;-111813.2605;-160007.5778
-6313.965477;2366.535648;-5873.636111;2168.320378;-2342.909854;-30145.37306;-112851.879;-159378.5997
-5134.128646;-2748.52696;-5076.148221;-3077.097604;2006.381989;-31576.51056;-112008.3689;-159895.7521
-3585.644494;-5871.736213;-4296.497023;-6168.232103;3613.517119;-32956.19434;-111173.5983;-160411.8091
-4440.375202;-4178.680978;-4714.899327;-4498.199165;2804.719246;-32227.41571;-111595.711;-160140.7719
-6224.983183;2044.491714;-5818.65082;1837.246339;-2044.424658;-30240.36798;-112788.5118;-159412.0603
-5464.129801;-1536.883597;-5281.761918;-1853.071374;1073.59899;-31207.50561;-112227.1254;-159758.9147
-3734.015373;-5737.558691;-4355.170352;-6035.44039;3609.471453;-32850.15766;-111237.3902;-160369.2961
-4119.694724;-4916.623821;-4542.813247;-5233.571557;3213.37619;-32528.09137;-111414.9524;-160249.8707
-6032.10998;1272.708329;-5694.084548;1045.994585;-1361.265941;-30465.65121;-112649.6405;-159493.1748
-5767.174753;-280.9837795;-5481.4077;-575.6021232;34.37698297;-30850.12357;-112439.6011;-159627.7099
-3959.522123;-5468.063708;-4449.695879;-5770.147535;3549.07704;-32679.99383;-111338.5989;-160302.2409
-3855.18418;-5418.644001;-4414.156606;-5732.462493;3448.762411;-32756.45915;-111281.4231;-160334.0921
-5757.876427;181.2502958;-5516.477587;-71.88321017;-437.334232;-30796.43468;-112454.2862;-159614.7906
-6022.856357;871.3827576;-5657.025356;605.8216817;-966.5564855;-30537.04268;-112626.2382;-159513.9619
-6179.832659;1855.619473;-5790.755843;1643.322604;-1883.268581;-30319.31434;-112754.2913;-159439.553
-5564.489134;-1154.154677;-5348.057192;-1463.748689;754.4384306;-31120.2891;-112294.6501;-159726.147
-3803.082264;-5675.264379;-4385.456966;-5974.107203;3603.414131;-32830.51048;-111266.8051;-160361.0036
-4039.541368;-5095.929515;-4505.038798;-5412.407865;3302.492595;-32631.93758;-111372.5735;-160288.8298
-5962.461944;970.3115785;-5651.169199;735.9535379;-1115.329697;-30583.48961;-112598.7902;-159537.3418
-5854.90535;82.56734402;-5543.053811;-203.624392;-289.0527593;-30775.71461;-112501.8284;-159601.0443
-4045.643395;-5359.188361;-4490.040778;-5663.015623;3514.856519;-32643.00169;-111378.6085;-160287.8017
-3793.113386;-5533.151988;-4386.395739;-5845.361155;3495.00817;-32835.98665;-111250.466;-160362.9706
-5663.060327;-193.0296651;-5456.261987;-454.0309851;-138.3796499;-30934.12142;-112385.3758;-159663.6739
-6092.794966;1180.328569;-5707.808519;923.9764123;-1253.307015;-30480.82804;-112676.172;-159493.7559
-4347.883683;-4863.672538;-4634.790675;-5174.138269;3307.186461;-32400.79819;-111532.1203;-160198.2382
-3636.271195;-5788.699483;-4316.948869;-6095.03014;3582.291732;-32972.06407;-111179.9462;-160416.1454
-5319.156387;-1473.941085;-5238.064258;-1760.624559;890.0241125;-31341.41491;-112147.8214;-159814.1682
-6257.437915;1985.527812;-5826.228061;1759.261103;-1987.606524;-30276.91308;-112800.0006;-159421.8951
-4669.726452;-4145.466285;-4803.814567;-4465.364452;2918.959012;-32101.03894;-111711.8283;-160085.0043
-6148.651975;1459.390099;-5747.169941;1211.799826;-1500.360847;-30429.21787;-112714.7511;-159472.2089
-4432.842664;-4671.872219;-4679.963551;-4985.556601;3211.96803;-32337.16277;-111577.4049;-160170.2985
-3590.025436;-5831.994812;-4300.56504;-6136.939661;3592.998218;-33017.92985;-111161.2825;-160429.8246
-5208.202327;-1856.357081;-5169.399699;-2151.69068;1192.331456;-31487.28239;-112071.2667;-159865.1749
-6283.924733;2146.281558;-5844.958823;1927.301517;-2135.083334;-30256.79651;-112816.9656;-159410.6521
-4760.407479;-3882.632122;-4855.581207;-4206.352437;2762.005062;-32022.20434;-111764.2208;-160051.0296
-3534.906034;-5897.19485;-4271.843049;-6196.663522;3600.307238;-33051.54688;-111134.7063;-160437.603
-4830.882529;-3067.978092;-4937.88033;-3383.092986;2081.148574;-31888.07152;-111823.0282;-160007.4437
-6316.021838;2371.028348;-5873.680815;2171.382567;-2359.606607;-30206.23686;-112843.3407;-159392.3237
-5101.808024;-2859.257502;-5057.17159;-3188.319884;2080.589781;-31677.33928;-111978.4623;-159925.3905
-3580.883572;-5879.313455;-4295.982933;-6176.032862;3615.081741;-33028.85986;-111162.5118;-160431.9928
-4474.059281;-4089.229296;-4733.51833;-4408.903946;2748.839885;-32259.334;-111605.5905;-160144.527
-6237.902491;2103.634429;-5827.368;1898.020732;-2105.489624;-30289.72063;-112789.1824;-159422.6103
-5431.898586;-1652.151543;-5261.086555;-1971.066233;1162.40247;-31305.85328;-112196.0565;-159786.6085
-3714.479949;-5751.595587;-4346.609634;-6049.633747;3610.231413;-32924.76778;-111218.6371;-160387.9822
-5453.803295;-944.6070724;-5320.206919;-1221.880462;476.4274331;-31208.77966;-112231.7522;-159755.0031
-6190.963827;1705.79573;-5774.662587;1465.916808;-1721.352544;-30381.09456;-112741.4391;-159447.689
-4518.963935;-4456.781382;-4722.230699;-4773.416194;3096.52127;-32263.89375;-111619.4039;-160134.8263
